grid_id,center_lat,center_lon,predicted_demand,actual_demand,station_count,nearby_subway_stations_count,nearby_bus_stops_count,nearby_restaurants_count,nearby_shops_count,nearby_offices_count,nearby_universities_count,nearby_schools_count,nearby_hospitals_count,nearby_banks_count,nearby_parks_area_sqm
1210,42.35074999999999,-71.08975000000001,106.20596,132.88778877887788,1,2,12,51,82,16,1,1,0,2,2605529.3341024043
1297,42.35974999999999,-71.09425,92.1483,148.4598662207358,1,0,16,29,10,28,1,0,0,3,1962286.1431825878
1339,42.36425,-71.10325,85.89573,189.9976318067321,2,2,26,56,52,31,1,4,0,7,36729.460420921314
1296,42.35974999999999,-71.09875,82.51365,46.58196721311475,1,0,14,42,16,30,1,2,0,3,1972445.0964908106
1348,42.36425,-71.06275,75.37313,120.84079327411845,5,7,19,54,37,17,1,1,3,4,2289659.535975811
1298,42.35974999999999,-71.08975000000001,70.88488,0.0,0,1,12,24,11,25,1,0,0,6,1903118.09459273
1295,42.35974999999999,-71.10325,69.14305,120.50311111111111,2,0,13,32,15,23,1,3,0,1,1985459.7018664645
1218,42.35074999999999,-71.05375000000001,68.97185,39.04703476482618,1,2,22,68,20,32,0,0,0,7,54809.22614915725
1299,42.35974999999999,-71.08525,68.01942,70.7933045548456,2,1,7,22,9,26,1,0,0,4,2246078.696223615
1383,42.36874999999999,-71.10325,67.62175,30.0,1,2,30,33,53,22,0,4,0,7,18288.981725437527
1208,42.35074999999999,-71.09875,67.53936,117.37282131239212,3,2,13,29,14,11,2,2,0,4,2624647.265886411
1209,42.35074999999999,-71.09425,66.36178,0.0,0,2,12,34,23,9,2,3,0,4,2565217.3182413997
1340,42.36425,-71.09875,63.781853,117.79587344066259,3,2,22,58,40,28,1,4,0,9,38211.43456607283
1211,42.35074999999999,-71.08525,63.714363,91.0031055900621,1,1,13,98,198,32,0,5,0,9,2587166.0704198997
1261,42.35525,-71.05825,63.01383,38.945968699224636,2,7,39,208,92,63,3,0,0,31,254217.10189834808
1303,42.35974999999999,-71.06725,62.71408,65.25523012552301,1,3,8,53,80,27,2,3,4,5,2527168.0832049237
