feature,importance
nearby_avg_popularity,0.1612758
nearby_shops_count,0.09001954
temperature_2m_max,0.08052077
nearby_restaurants_count,0.0682637
nearby_banks_count,0.050852265
nearby_subway_stations_count,0.04670593
nearby_parks_area_sqm,0.045033164
latitude,0.04000894
nearby_bus_stops_count,0.037203364
nearby_universities_count,0.03608868
nearby_offices_count,0.03607859
season,0.033925444
longitude,0.033278894
precipitation_hours,0.028992256
temperature_2m_mean,0.028103068
temperature_2m_min,0.026359824
nearby_schools_count,0.024449604
nearby_hospitals_count,0.022843514
month,0.02271783
is_weekend,0.017719753
precipitation_sum,0.014664394
day_of_week,0.012188113
day,0.009478185
is_holiday,0.009366168
windgusts_10m_max,0.009030084
rain_sum,0.007142624
windspeed_10m_max,0.0052659647
snowfall_sum,0.0024235449
